product_id,name,category,subcategory,price,avg_rating,rating_count,description
1,Electronics Product 1,Electronics,Gaming,66.69,3.3,42,This is a Gaming product in the Electronics category.
2,Electronics Product 2,Electronics,Smartphones,752.4,4.5,318,This is a Smartphones product in the Electronics category.
3,Electronics Product 3,Electronics,Gaming,35.58,4.2,123,This is a Gaming product in the Electronics category.
4,Electronics Product 4,Electronics,Laptops,297.13,4.1,209,This is a Laptops product in the Electronics category.
5,Electronics Product 5,Electronics,Gaming,35.85,4.7,138,This is a Gaming product in the Electronics category.
6,Electronics Product 6,Electronics,Laptops,153.58,4.2,96,This is a Laptops product in the Electronics category.
7,Electronics Product 7,Electronics,Cameras,127.84,4.1,62,This is a Cameras product in the Electronics category.
8,Electronics Product 8,Electronics,Gaming,51.43,4.0,34,This is a Gaming product in the Electronics category.
9,Electronics Product 9,Electronics,Gaming,345.44,4.7,112,This is a Gaming product in the Electronics category.
10,Electronics Product 10,Electronics,Gaming,91.43,4.1,43,This is a Gaming product in the Electronics category.
11,Electronics Product 11,Electronics,Gaming,75.28,4.2,104,This is a Gaming product in the Electronics category.
12,Electronics Product 12,Electronics,Cameras,229.16,4.4,465,This is a Cameras product in the Electronics category.
13,Electronics Product 13,Electronics,Gaming,19.1,3.5,325,This is a Gaming product in the Electronics category.
14,Electronics Product 14,Electronics,Smartphones,388.12,3.9,871,This is a Smartphones product in the Electronics category.
15,Electronics Product 15,Electronics,Laptops,107.43,4.1,242,This is a Laptops product in the Electronics category.
16,Electronics Product 16,Electronics,Laptops,179.88,3.8,111,This is a Laptops product in the Electronics category.
17,Electronics Product 17,Electronics,Cameras,681.23,4.3,78,This is a Cameras product in the Electronics category.
18,Electronics Product 18,Electronics,Laptops,76.94,3.8,242,This is a Laptops product in the Electronics category.
19,Electronics Product 19,Electronics,Gaming,357.94,3.6,159,This is a Gaming product in the Electronics category.
20,Electronics Product 20,Electronics,Audio,211.8,4.4,34,This is a Audio product in the Electronics category.
21,Electronics Product 21,Electronics,Cameras,151.24,3.6,155,This is a Cameras product in the Electronics category.
22,Electronics Product 22,Electronics,Laptops,68.53,3.7,202,This is a Laptops product in the Electronics category.
23,Electronics Product 23,Electronics,Audio,207.47,4.0,171,This is a Audio product in the Electronics category.
24,Electronics Product 24,Electronics,Gaming,142.93,3.9,376,This is a Gaming product in the Electronics category.
25,Electronics Product 25,Electronics,Audio,36.71,4.6,523,This is a Audio product in the Electronics category.
26,Electronics Product 26,Electronics,Audio,62.47,4.2,169,This is a Audio product in the Electronics category.
27,Electronics Product 27,Electronics,Cameras,226.42,4.2,261,This is a Cameras product in the Electronics category.
28,Electronics Product 28,Electronics,Smartphones,119.72,4.9,1052,This is a Smartphones product in the Electronics category.
29,Electronics Product 29,Electronics,Gaming,253.15,3.7,141,This is a Gaming product in the Electronics category.
30,Electronics Product 30,Electronics,Gaming,337.99,3.4,821,This is a Gaming product in the Electronics category.
31,Electronics Product 31,Electronics,Laptops,73.49,4.4,138,This is a Laptops product in the Electronics category.
32,Electronics Product 32,Electronics,Audio,436.66,3.9,166,This is a Audio product in the Electronics category.
33,Electronics Product 33,Electronics,Gaming,23.89,4.3,45,This is a Gaming product in the Electronics category.
34,Electronics Product 34,Electronics,Cameras,57.88,4.1,39,This is a Cameras product in the Electronics category.
35,Electronics Product 35,Electronics,Audio,267.82,4.0,225,This is a Audio product in the Electronics category.
36,Electronics Product 36,Electronics,Smartphones,118.87,3.2,3648,This is a Smartphones product in the Electronics category.
37,Electronics Product 37,Electronics,Smartphones,108.12,3.8,561,This is a Smartphones product in the Electronics category.
38,Electronics Product 38,Electronics,Audio,203.56,4.0,48,This is a Audio product in the Electronics category.
39,Electronics Product 39,Electronics,Audio,56.84,3.6,149,This is a Audio product in the Electronics category.
40,Electronics Product 40,Electronics,Smartphones,118.54,4.8,160,This is a Smartphones product in the Electronics category.
41,Electronics Product 41,Electronics,Cameras,98.13,3.8,116,This is a Cameras product in the Electronics category.
42,Electronics Product 42,Electronics,Smartphones,21.71,4.1,145,This is a Smartphones product in the Electronics category.
43,Electronics Product 43,Electronics,Gaming,117.05,4.3,111,This is a Gaming product in the Electronics category.
44,Electronics Product 44,Electronics,Laptops,93.06,4.1,247,This is a Laptops product in the Electronics category.
45,Electronics Product 45,Electronics,Smartphones,204.85,3.9,238,This is a Smartphones product in the Electronics category.
46,Electronics Product 46,Electronics,Audio,589.25,4.0,18,This is a Audio product in the Electronics category.
47,Electronics Product 47,Electronics,Audio,351.83,4.6,115,This is a Audio product in the Electronics category.
48,Electronics Product 48,Electronics,Gaming,655.89,4.3,12,This is a Gaming product in the Electronics category.
49,Electronics Product 49,Electronics,Laptops,383.56,4.6,156,This is a Laptops product in the Electronics category.
50,Electronics Product 50,Electronics,Laptops,115.55,4.7,218,This is a Laptops product in the Electronics category.
51,Electronics Product 51,Electronics,Cameras,162.34,3.5,376,This is a Cameras product in the Electronics category.
52,Electronics Product 52,Electronics,Laptops,48.78,3.9,64,This is a Laptops product in the Electronics category.
53,Electronics Product 53,Electronics,Laptops,238.7,4.4,88,This is a Laptops product in the Electronics category.
54,Electronics Product 54,Electronics,Audio,46.36,3.8,549,This is a Audio product in the Electronics category.
55,Electronics Product 55,Electronics,Audio,143.12,3.9,236,This is a Audio product in the Electronics category.
56,Electronics Product 56,Electronics,Laptops,292.79,4.1,67,This is a Laptops product in the Electronics category.
57,Electronics Product 57,Electronics,Cameras,979.82,3.7,357,This is a Cameras product in the Electronics category.
58,Electronics Product 58,Electronics,Cameras,57.44,4.4,202,This is a Cameras product in the Electronics category.
59,Electronics Product 59,Electronics,Cameras,61.19,3.7,668,This is a Cameras product in the Electronics category.
60,Electronics Product 60,Electronics,Laptops,491.78,4.3,407,This is a Laptops product in the Electronics category.
61,Electronics Product 61,Electronics,Audio,203.42,4.5,23,This is a Audio product in the Electronics category.
62,Electronics Product 62,Electronics,Audio,327.61,4.3,801,This is a Audio product in the Electronics category.
63,Electronics Product 63,Electronics,Audio,162.62,3.9,367,This is a Audio product in the Electronics category.
64,Electronics Product 64,Electronics,Smartphones,99.78,4.0,212,This is a Smartphones product in the Electronics category.
65,Electronics Product 65,Electronics,Laptops,63.78,3.6,551,This is a Laptops product in the Electronics category.
